ProteinAccession_GenomeAcc,GenomeAcc_ScientificName,TaxonomyID,ScientificName,GenomeAccession,Lineage,Genus,URL
AFC75858__JQ320376.1,JQ320376.1_Blattella germanica densovirus-like virus,1154691,Blattella germanica densovirus-like virus,JQ320376.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;unclassified Densovirinae,unclassified Densovirinae,http://www.ncbi.nlm.nih.gov/nuccore/JQ320376.1
NP_874381__AY189948,AY189948_Blattella germanica densovirus 1,220638,Blattella germanica densovirus 1,AY189948,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Ambidensovirus;Blattodean ambidensovirus 2,Ambidensovirus,http://www.ncbi.nlm.nih.gov/nuccore/AY189948
YP_008658568__KF275669,KF275669_Acheta domesticus mini ambidensovirus,1404345,Acheta domesticus mini ambidensovirus,KF275669,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;unclassified Densovirinae,unclassified Densovirinae,http://www.ncbi.nlm.nih.gov/nuccore/KF275669
AJI02597__KM975734.1,KM975734.1_Mosquito densovirus HB-3,1607696,Mosquito densovirus HB-3,KM975734.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Brevidensovirus;unclassified Brevidensovirus,Brevidensovirus,http://www.ncbi.nlm.nih.gov/nuccore/KM975734.1
NP_694834__AB042597,AB042597_Bombyx mori densovirus 5,125788,Bombyx mori densovirus 5,AB042597,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Iteradensovirus;Lepidopteran iteradensovirus 1;Bombyx mori densovirus,Iteradensovirus,http://www.ncbi.nlm.nih.gov/nuccore/AB042597
AIT71975__KM576800.1,KM576800.1_Hordeum marinum Itera-like densovirus,1561946,Hordeum marinum Itera-like densovirus,KM576800.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Iteradensovirus;unclassified Iteravirus,Iteradensovirus,http://www.ncbi.nlm.nih.gov/nuccore/KM576800.1
ACI01073__FJ040397.1,FJ040397.1_Dysaphis plantaginea densovirus,551224,Dysaphis plantaginea densovirus,FJ040397.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;unclassified Densovirinae,unclassified Densovirinae,http://www.ncbi.nlm.nih.gov/nuccore/FJ040397.1
YP_009256211__KX165268,KX165268_Diaphorina citri densovirus,1776153,Diaphorina citri densovirus,KX165268,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Ambidensovirus;unclassified Densovirus,Ambidensovirus,http://www.ncbi.nlm.nih.gov/nuccore/KX165268
YP_009134732__KP410261,KP410261_Cherax quadricarinatus densovirus,1642018,Cherax quadricarinatus densovirus,KP410261,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;unclassified Densovirinae,unclassified Densovirinae,http://www.ncbi.nlm.nih.gov/nuccore/KP410261
ANG55949__KX035107.1,KX035107.1_Human CSF-associated densovirus,1850255,Human CSF-associated densovirus,KX035107.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;unclassified Densovirinae,unclassified Densovirinae,http://www.ncbi.nlm.nih.gov/nuccore/KX035107.1
YP_008766862__KC991097,KC991097_Solenopsis invicta densovirus,1414671,Solenopsis invicta densovirus,KC991097,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Ambidensovirus;unclassified Densovirus,Ambidensovirus,http://www.ncbi.nlm.nih.gov/nuccore/KC991097
